symbol_tv,interval,time,open,high,low,close,volume,datetime,tf_label
CAPITALCOM:US30,1,2025-09-19 04:41:00,46189.7,46193.2,46188.7,46191.2,36.0,2025-09-19 04:41:00+00:00,M1
CAPITALCOM:US30,1,2025-09-19 04:42:00,46192.2,46193.2,46188.2,46188.7,30.0,2025-09-19 04:42:00+00:00,M1
CAPITALCOM:US30,1,2025-09-19 04:43:00,46189.2,46189.7,46186.6,46187.1,37.0,2025-09-19 04:43:00+00:00,M1
CAPITALCOM:US30,1,2025-09-19 04:44:00,46187.6,46189.1,46185.1,46188.1,23.0,2025-09-19 04:44:00+00:00,M1
CAPITALCOM:US30,1,2025-09-19 04:45:00,46187.6,46189.2,46185.7,46186.2,19.0,2025-09-19 04:45:00+00:00,M1
CAPITALCOM:US30,1,2025-09-19 04:46:00,46186.7,46193.1,46186.7,46193.1,14.0,2025-09-19 04:46:00+00:00,M1
CAPITALCOM:US30,1,2025-09-19 04:47:00,46194.1,46194.6,46191.1,46191.6,7.0,2025-09-19 04:47:00+00:00,M1
CAPITALCOM:US30,1,2025-09-19 04:48:00,46190.1,46195.2,46190.1,46194.2,18.0,2025-09-19 04:48:00+00:00,M1
CAPITALCOM:US30,1,2025-09-19 04:49:00,46194.7,46195.8,46193.8,46194.9,26.0,2025-09-19 04:49:00+00:00,M1
CAPITALCOM:US30,1,2025-09-19 04:50:00,46195.9,46197.2,46193.8,46196.6,31.0,2025-09-19 04:50:00+00:00,M1
CAPITALCOM:US30,1,2025-09-19 04:51:00,46196.1,46196.1,46193.5,46193.5,19.0,2025-09-19 04:51:00+00:00,M1
CAPITALCOM:US30,1,2025-09-19 04:52:00,46192.5,46193.7,46191.2,46192.9,19.0,2025-09-19 04:52:00+00:00,M1
CAPITALCOM:US30,1,2025-09-19 04:53:00,46193.4,46195.6,46192.9,46195.6,19.0,2025-09-19 04:53:00+00:00,M1
CAPITALCOM:US30,1,2025-09-19 04:54:00,46195.1,46195.1,46192.6,46193.6,13.0,2025-09-19 04:54:00+00:00,M1
CAPITALCOM:US30,1,2025-09-19 04:55:00,46193.1,46195.1,46192.8,46194.3,11.0,2025-09-19 04:55:00+00:00,M1
CAPITALCOM:US30,1,2025-09-19 04:56:00,46195.3,46204.4,46195.3,46203.7,23.0,2025-09-19 04:56:00+00:00,M1
CAPITALCOM:US30,15,2025-09-18 03:45:00,46147.0,46147.0,46131.3,46142.2,267.0,2025-09-18 03:45:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 04:00:00,46142.7,46145.7,46132.3,46141.1,218.0,2025-09-18 04:00:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 04:15:00,46141.3,46149.5,46137.8,46148.8,203.0,2025-09-18 04:15:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 04:30:00,46149.5,46165.7,46144.9,46157.1,275.0,2025-09-18 04:30:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 04:45:00,46156.6,46164.6,46153.6,46160.6,263.0,2025-09-18 04:45:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 05:00:00,46160.1,46166.3,46155.4,46158.3,282.0,2025-09-18 05:00:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 05:15:00,46157.8,46163.0,46116.3,46116.3,382.0,2025-09-18 05:15:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 05:30:00,46116.8,46140.8,46114.3,46130.7,494.0,2025-09-18 05:30:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 05:45:00,46131.2,46145.9,46123.8,46141.8,385.0,2025-09-18 05:45:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 06:00:00,46141.3,46147.5,46112.9,46118.7,724.0,2025-09-18 06:00:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 06:15:00,46117.7,46124.3,46105.1,46119.2,684.0,2025-09-18 06:15:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 06:30:00,46118.7,46153.9,46095.7,46150.9,750.0,2025-09-18 06:30:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 06:45:00,46151.3,46167.4,46143.7,46161.5,514.0,2025-09-18 06:45:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 07:00:00,46162.0,46199.1,46151.0,46197.6,902.0,2025-09-18 07:00:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 07:15:00,46198.1,46220.1,46162.4,46178.0,927.0,2025-09-18 07:15:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 07:30:00,46177.5,46201.7,46174.4,46194.2,873.0,2025-09-18 07:30:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 07:45:00,46193.7,46241.0,46193.7,46232.4,843.0,2025-09-18 07:45:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 08:00:00,46232.9,46261.2,46207.7,46233.7,1276.0,2025-09-18 08:00:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 08:15:00,46233.2,46263.1,46230.9,46259.1,752.0,2025-09-18 08:15:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 08:30:00,46258.6,46291.2,46258.4,46285.3,906.0,2025-09-18 08:30:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 08:45:00,46285.2,46352.3,46281.9,46334.7,1247.0,2025-09-18 08:45:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 09:00:00,46335.2,46360.8,46325.3,46334.8,888.0,2025-09-18 09:00:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 09:15:00,46338.3,46345.3,46312.9,46328.4,776.0,2025-09-18 09:15:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 09:30:00,46327.4,46365.5,46326.3,46349.6,617.0,2025-09-18 09:30:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 09:45:00,46349.1,46361.6,46325.7,46326.6,614.0,2025-09-18 09:45:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 10:00:00,46326.7,46346.8,46321.4,46333.6,494.0,2025-09-18 10:00:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 10:15:00,46333.1,46339.7,46316.5,46321.5,437.0,2025-09-18 10:15:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 10:30:00,46321.0,46321.0,46305.3,46305.9,525.0,2025-09-18 10:30:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 10:45:00,46306.4,46308.0,46279.5,46301.8,533.0,2025-09-18 10:45:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 11:00:00,46296.8,46346.3,46296.8,46321.0,1083.0,2025-09-18 11:00:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 11:15:00,46320.0,46336.8,46308.3,46317.7,733.0,2025-09-18 11:15:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 11:30:00,46316.7,46318.0,46261.4,46275.5,744.0,2025-09-18 11:30:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 11:45:00,46274.5,46281.1,46243.9,46263.1,768.0,2025-09-18 11:45:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 12:00:00,46263.6,46269.6,46226.9,46233.3,782.0,2025-09-18 12:00:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 12:15:00,46232.3,46251.6,46216.8,46231.5,848.0,2025-09-18 12:15:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 12:30:00,46230.5,46234.4,46181.6,46187.4,1314.0,2025-09-18 12:30:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 12:45:00,46187.9,46189.9,46098.7,46100.8,1167.0,2025-09-18 12:45:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 13:00:00,46099.8,46103.4,46006.0,46031.4,2226.0,2025-09-18 13:00:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 13:15:00,46030.8,46065.9,45991.5,46000.5,1909.0,2025-09-18 13:15:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 13:30:00,46001.0,46064.6,45947.7,45987.1,6073.0,2025-09-18 13:30:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 13:45:00,45986.6,46100.5,45942.4,46069.5,5128.0,2025-09-18 13:45:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 14:00:00,46072.3,46214.0,46068.3,46204.1,3897.0,2025-09-18 14:00:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 14:15:00,46200.1,46291.7,46192.7,46283.4,3560.0,2025-09-18 14:15:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 14:30:00,46281.3,46322.2,46221.5,46224.0,3427.0,2025-09-18 14:30:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 14:45:00,46226.5,46236.2,46122.9,46134.9,3511.0,2025-09-18 14:45:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 15:00:00,46137.4,46148.1,46074.9,46096.4,3433.0,2025-09-18 15:00:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 15:15:00,46095.4,46209.2,46084.7,46141.8,3130.0,2025-09-18 15:15:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 15:30:00,46140.4,46193.8,46140.4,46157.7,2400.0,2025-09-18 15:30:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 15:45:00,46158.3,46163.0,46053.1,46096.3,2898.0,2025-09-18 15:45:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 16:00:00,46095.3,46163.3,46081.1,46160.7,2722.0,2025-09-18 16:00:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 16:15:00,46159.2,46204.7,46144.5,46197.2,2071.0,2025-09-18 16:15:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 16:30:00,46196.8,46248.7,46190.8,46245.8,1701.0,2025-09-18 16:30:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 16:45:00,46246.3,46268.0,46227.1,46261.3,1872.0,2025-09-18 16:45:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 17:00:00,46261.0,46278.4,46200.7,46221.4,2199.0,2025-09-18 17:00:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 17:15:00,46221.0,46243.0,46177.7,46190.7,1900.0,2025-09-18 17:15:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 17:30:00,46190.8,46213.3,46165.7,46205.8,2165.0,2025-09-18 17:30:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 17:45:00,46206.8,46214.6,46142.1,46159.1,1916.0,2025-09-18 17:45:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 18:00:00,46160.2,46181.7,46133.5,46157.8,1856.0,2025-09-18 18:00:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 18:15:00,46158.3,46183.9,46143.8,46148.4,1503.0,2025-09-18 18:15:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 18:30:00,46147.5,46164.5,46091.7,46099.2,1535.0,2025-09-18 18:30:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 18:45:00,46100.2,46199.7,46096.6,46180.4,1587.0,2025-09-18 18:45:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 19:00:00,46178.7,46204.0,46161.0,46169.7,1608.0,2025-09-18 19:00:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 19:15:00,46169.3,46175.8,46132.0,46141.1,1547.0,2025-09-18 19:15:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 19:30:00,46140.8,46146.5,46097.7,46130.2,1790.0,2025-09-18 19:30:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 19:45:00,46129.2,46182.9,46100.4,46145.4,2762.0,2025-09-18 19:45:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 20:00:00,46146.9,46176.6,46134.5,46148.7,503.0,2025-09-18 20:00:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 20:15:00,46149.7,46179.9,46146.3,46179.4,180.0,2025-09-18 20:15:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 20:30:00,46177.4,46183.9,46173.6,46176.6,103.0,2025-09-18 20:30:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 20:45:00,46175.6,46206.8,46174.5,46206.7,96.0,2025-09-18 20:45:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 21:00:00,46204.5,46204.9,46202.7,46202.8,23.0,2025-09-18 21:00:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 21:15:00,46203.5,46204.2,46201.3,46201.3,29.0,2025-09-18 21:15:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 21:30:00,46201.5,46203.7,46201.5,46203.0,17.0,2025-09-18 21:30:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 21:45:00,46202.9,46205.4,46202.6,46204.7,48.0,2025-09-18 21:45:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 22:00:00,46202.1,46258.2,46202.1,46256.9,420.0,2025-09-18 22:00:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 22:15:00,46257.9,46262.0,46243.8,46249.7,193.0,2025-09-18 22:15:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 22:30:00,46250.2,46250.7,46218.7,46222.3,276.0,2025-09-18 22:30:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 22:45:00,46221.3,46250.8,46219.3,46244.9,248.0,2025-09-18 22:45:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 23:00:00,46245.4,46256.6,46235.8,46244.8,274.0,2025-09-18 23:00:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 23:15:00,46244.3,46251.1,46240.8,46242.3,165.0,2025-09-18 23:15:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 23:30:00,46241.8,46256.9,46240.8,46249.9,216.0,2025-09-18 23:30:00+00:00,M15
CAPITALCOM:US30,15,2025-09-18 23:45:00,46248.9,46252.8,46237.3,46237.8,234.0,2025-09-18 23:45:00+00:00,M15
CAPITALCOM:US30,15,2025-09-19 00:00:00,46237.5,46260.8,46226.3,46228.0,577.0,2025-09-19 00:00:00+00:00,M15
CAPITALCOM:US30,15,2025-09-19 00:15:00,46227.5,46234.1,46189.7,46200.2,710.0,2025-09-19 00:15:00+00:00,M15
